

Specimen Identifier:, 
Test Date:, 29 April 2021
Start Time:, 11:10:16
End Time:, 11:11:38
Geometry:, Thickness
Thickness:, 0.007 in
Analysis Results

Extension at Load
Extension, -0.830 in
Load, 0 lb
Extension at Maximum Load
Extension at Maximum Load, -0.706 in
Load At Break
Load, 0 lb
Stress At Break
Stress, 0 psi
