

Specimen Identifier:, 
Test Date:, 29 April 2021
Start Time:, 11:48:45
End Time:, 11:49:42
Geometry:, Thickness
Thickness:, 0.007 in
Analysis Results

Extension at Load
Extension, -0.289 in
Load, 0 lb
Extension at Maximum Load
Extension at Maximum Load, -0.089 in
Load At Break
Load, 0 lb
Stress At Break
Stress, 0 psi
